0,1.00918,0.00223564,0.000581977,0.0007
0.01,2.01534,0.00454168,0.00119783,0.00136472
0.03,3.01848,0.00693318,0.00184893,0.00199598
0.06,4.01861,0.00942446,0.00253664,0.00259546
0.1,5.01574,0.0120293,0.00326234,0.00316475
0.15,6.00988,0.0147611,0.0040274,0.00370535
0.21,7.00103,0.0176326,0.00483318,0.00421867
0.28,7.98922,0.0206566,0.00568103,0.004706
0.36,8.97444,0.0238452,0.0065723,0.00516857
0.45,9.95671,0.0272105,0.00750832,0.00560755
0.55,10.936,0.0307643,0.00849038,0.006024
0.66,11.9124,0.034518,0.00951976,0.00641892
0.78,12.8859,0.0384829,0.0105977,0.00679326
0.91,13.8565,0.0426698,0.0117255,0.00714789
1.05,14.8242,0.0470895,0.0129042,0.00748364
1.2,15.789,0.051752,0.0141351,0.00780126
1.36,16.7509,0.0566674,0.0154191,0.00810148
1.53,17.71,0.0618451,0.0167576,0.00838495
1.71,18.6663,0.0672941,0.0181513,0.0086523
1.9,19.6198,0.0730229,0.0196013,0.00890412
2.1,20.5705,0.0790394,0.0211086,0.00914096
2.31,21.5185,0.0853512,0.0226739,0.00936332
2.53,22.4638,0.0919647,0.0242982,0.0095717
2.76,23.4064,0.0988861,0.0259822,0.00976656
3,24.3464,0.106121,0.0277265,0.00994833
3.25,25.2838,0.113673,0.029532,0.0101174
3.51,26.2187,0.121547,0.0313991,0.0102743
3.78,27.1512,0.129744,0.0333285,0.0104193
4.06,28.0813,0.138268,0.0353205,0.0105528
4.35,29.0092,0.147119,0.0373758,0.0106752
4.65,29.9348,0.156297,0.0394946,0.0107868
4.96,30.8584,0.165801,0.0416774,0.0108881
5.28,31.7799,0.17563,0.0439244,0.0109793
5.61,32.6997,0.185779,0.0462358,0.0110608
5.95,33.6177,0.196247,0.0486118,0.0111331
6.3,34.5341,0.207026,0.0510527,0.0111963
6.66,35.4492,0.218112,0.0535585,0.011251
7.03,36.363,0.229497,0.0561292,0.0112974
7.41,37.2758,0.241174,0.058765,0.0113358
7.8,38.1878,0.253133,0.0614658,0.0113667
8.2,39.0992,0.265366,0.0642315,0.0113904
8.61,40.0101,0.27786,0.0670622,0.0114072
9.03,40.9209,0.290605,0.0699577,0.0114173
9.46,41.8318,0.303588,0.0729178,0.0114213
9.9,42.743,0.316796,0.0759425,0.0114193
10.35,43.6548,0.330215,0.0790315,0.0114117
