0,0.130634,0.00219924,0.00058366,0.000697307,0
0.01,0.260876,0.00432851,0.00117069,0.00138926,0
0.02,0.390728,0.00639187,0.00176109,0.00207591,0
0.03,0.520192,0.00839315,0.00235486,0.0027573,0
0.04,0.649268,0.010336,0.00295202,0.00343347,0
0.05,0.777957,0.0122237,0.00355255,0.00410448,0
0.06,0.906262,0.0140595,0.00415647,0.00477036,0
0.07,1.03418,0.0158466,0.00476377,0.00543115,0
0.08,1.16172,0.0175876,0.00537446,0.00608691,0
0.09,1.28888,0.0192853,0.00598854,0.00673768,0
0.1,1.41566,0.0209422,0.00660601,0.00738348,0
0.11,1.54207,0.0225608,0.00722687,0.00802438,0
0.12,1.6681,0.0241432,0.00785113,0.0086604,0
0.13,1.79375,0.0256917,0.00847878,0.00929158,0
0.14,1.91904,0.0272083,0.00910983,0.00991797,0
0.15,2.04395,0.0286949,0.00974428,0.0105396,0
0.16,2.1685,0.0301533,0.0103821,0.0111565,0
0.17,2.29268,0.0315852,0.0110234,0.0117688,0
0.18,2.4165,0.0329923,0.011668,0.0123763,0
0.19,2.53996,0.034376,0.0123161,0.0129793,0
0.2,2.66307,0.0357379,0.0129675,0.0135777,0
0.21,2.78581,0.0370793,0.0136224,0.0141716,0
0.22,2.90821,0.0384015,0.0142806,0.0147609,0
0.23,3.03025,0.0397059,0.0149423,0.0153458,0
0.24,3.15194,0.0409935,0.0156073,0.0159263,0
0.25,3.27329,0.0422654,0.0162758,0.0165023,0
0.26,3.3943,0.0435228,0.0169476,0.017074,0
0.27,3.51496,0.0447667,0.0176229,0.0176413,0
0.28,3.63529,0.0459979,0.0183015,0.0182043,0
0.29,3.75528,0.0472174,0.0189836,0.0187631,0
0.3,3.87494,0.0484262,0.019669,0.0193175,0
0.31,3.99428,0.0496249,0.0203578,0.0198678,0
0.32,4.11328,0.0508144,0.0210501,0.0204139,0
0.33,4.23197,0.0519954,0.0217457,0.0209558,0
0.34,4.35033,0.0531687,0.0224447,0.0214935,0
0.35,4.46838,0.0543349,0.0231471,0.0220272,0
0.36,4.58612,0.0554946,0.0238529,0.0225568,0
0.37,4.70354,0.0566484,0.0245621,0.0230823,0
0.38,4.82066,0.0577971,0.0252746,0.0236037,0
0.39,4.93748,0.058941,0.0259906,0.0241212,0
0.4,5.054,0.0600807,0.0267099,0.0246347,0
0.41,5.17022,0.0612168,0.0274326,0.0251443,0
0.42,5.28615,0.0623496,0.0281587,0.0256499,0
0.43,5.40179,0.0634798,0.0288881,0.0261516,0
0.44,5.51715,0.0646077,0.0296209,0.0266494,0
0.45,5.63223,0.0657337,0.0303571,0.0271434,0
0.46,5.74703,0.0668582,0.0310967,0.0276335,0
0.47,5.86156,0.0679817,0.0318396,0.0281198,0
0.48,5.97582,0.0691044,0.0325859,0.0286023,0
0.49,6.08982,0.0702268,0.0333356,0.029081,0
0.5,6.20356,0.0713492,0.0340886,0.029556,0
0.51,6.31705,0.0724719,0.034845,0.0300272,0
0.52,6.43028,0.0735952,0.0356048,0.0304947,0
0.53,6.54327,0.0747194,0.0363678,0.0309586,0
0.54,6.65602,0.0758448,0.0371343,0.0314187,0
0.55,6.76854,0.0769717,0.0379041,0.0318752,0
0.56,6.88082,0.0781003,0.0386772,0.0323281,0
0.57,6.99288,0.0792309,0.0394537,0.0327773,0
0.58,7.10472,0.0803638,0.0402335,0.033223,0
0.59,7.21634,0.0814991,0.0410167,0.033665,0
0.6,7.32776,0.0826371,0.0418032,0.0341035,0
